Machki w'Âoued,(2020),120 min,"
Comedy            ",None,8.2,56
Nancy Goes to Rio,(1950),100 min,"
Comedy, Musical            ",None,6.6,537
Backyard Wedding,(2010 TV Movie),90 min,"
Comedy, Romance            ",None,5.8,631
This Is Not Happening,(2013– ),None,"
Comedy            ",None,8.1,497
Hammy's Boomerang Adventure,(2006 Video),5 min,"
Animation, Short, Comedy            ",None,6.3,837
In Security,(2013),94 min,"
Action, Comedy, Crime            ",R,5.1,839
La loi de la jungle,(2016),99 min,"
Adventure, Comedy            ",None,6.3,"1,068"
Black Coffee,(I) (2021),142 min,"
Comedy            ",None,3.6,121
The Orchard,(2016),103 min,"
Comedy, Drama            ",None,5.4,82
"Blanche Neige, la suite",(2007),82 min,"
Animation, Comedy            ",None,4.7,430

